mission_id,agency,launch_year,mission_duration_days,destination,mission_status
M001,nasa,2014,1041,moon,success
M002,NASA,2012,765,mars,Failure
M003,,2017,1027,Mars,Success
M004,,1992,1384,Moon,Success
M005,,2008,1669,moon,Success
M006,NASA,2007,963,ISS,success
M007,NASA,2007,1054,mars,Success
M008,ISRO,1994,1254,Mars,Partial
M009,nasa,2015,334,mars,Failure
M010,NASA,2019,192,Mars,Partial
M011,,2001,793,ISS,success
M012,nasa,2021,1217,Moon,Partial
M013,ISRO,1993,1750,Mars,success
M014,,2020,1892,Moon,success
M015,ESA,2003,1132,Moon,Failure
M016,ESA,1995,240,mars,Success
M017,,1990,219,mars,Partial
M018,ESA,2005,1758,moon,Partial
M019,ESA,2003,720,Moon,Failure
M020,ISRO,2022,645,Moon,Success
M021,nasa,2022,150,ISS,Failure
M022,NASA,2001,1263,Moon,Partial
M023,ESA,1991,668,mars,Partial
M024,,2022,1453,Moon,Partial
M025,NASA,1996,1401,Moon,success
M026,ISRO,1993,1483,Moon,Partial
M027,ISRO,2020,412,ISS,Failure
M028,nasa,1994,1473,Moon,success
M029,ESA,2017,86,mars,Success
M030,NASA,2020,794,ISS,Success
M031,NASA,2016,878,Mars,Failure
M032,,2016,964,Moon,Success
M033,NASA,2017,6,Mars,Success
M034,ISRO,2015,897,Mars,Partial
M035,ESA,1992,1710,Moon,Success
M036,ESA,2011,274,moon,Failure
M037,ISRO,2010,1867,moon,Success
M038,ISRO,2000,1832,moon,success
M039,NASA,,1688,ISS,Failure
M040,,2008,488,moon,Failure
M041,ESA,2007,707,Moon,Partial
M042,ISRO,2007,980,mars,Success
M043,ISRO,1998,983,Mars,success
M044,,2003,845,Mars,Partial
M045,,1995,1077,Moon,success
M046,,2012,1817,ISS,Failure
M047,nasa,2008,1539,Mars,success
M048,ESA,1991,1736,Moon,success
M049,ESA,2022,477,Mars,success
M050,NASA,1997,1638,mars,Failure
M051,ESA,1994,1608,mars,Failure
M052,NASA,2019,252,ISS,Partial
M053,ISRO,2002,435,mars,Success
M054,,1990,1213,ISS,Partial
M055,ISRO,1992,746,moon,Success
M056,nasa,2011,292,ISS,Success
M057,ESA,2012,1377,Moon,Partial
M058,,1999,627,Mars,Failure
M059,NASA,2020,1306,Moon,success
M060,nasa,2012,1194,moon,Success
M061,nasa,2013,725,Mars,Partial
M062,nasa,2000,1979,mars,Success
M063,,1998,1844,moon,Failure
M064,ESA,2001,1286,ISS,Success
M065,ESA,1993,1463,ISS,Partial
M066,ISRO,1997,1917,ISS,success
M067,,2006,768,moon,Partial
M068,ESA,1996,1444,mars,Success
M069,ESA,1997,592,ISS,Success
M070,NASA,2003,297,moon,Partial
M001,nasa,2014,1041,moon,success
M002,NASA,2012,765,mars,Failure
M003,,2017,1027,Mars,Success
M004,,1992,1384,Moon,Success
M005,,2008,1669,moon,Success
